Channel,psd_Delta,psd_Theta,psd_Alpha,psd_Beta,psd_Gamma
Fz,3466.9514611204063,248.02198683894176,74.53394029138589,31.349311434855167,16.499143473767568
Cz,3584.9716474650468,257.70187587380445,77.30812101135015,33.1870032984337,17.652362532318573
Pz,3644.0994123047867,263.3951866331374,79.47928648280701,34.77108553358537,18.435330219433805
Acc1,3711.7908165784197,269.68441509787095,80.65366234798468,32.86990459337637,17.34405211820245
Acc2,3667.673373591248,267.7388629575151,80.86034430115055,33.50313274483528,17.64714509028471
Acc3,3703.454859260883,271.441497280815,81.13038663402338,34.70944903247602,17.84057616976252
